date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:17:13	134396/134396	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2220cfc-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400.eot	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400.eot	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:13	134396/134396	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2220cfc-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400.eot?	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400d41d.eot	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:14	74288/74288	---M--	200	added ('OK')	font/woff2	etag:W/%2212230-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400.woff2	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400.woff2	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:15	87048/87048	---M--	200	added ('OK')	font/woff	etag:W/%2215408-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400.woff	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400.woff	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:15	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Wed,%2012%20Jun%202019%2000:18:04%20GMT	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400.svg	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400.svg	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:15	40308/40308	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%229d74-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400.eot	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400.eot	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:15	134160/134160	---M--	200	added ('OK')	font/ttf	etag:W/%2220c10-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400.ttf	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-brands-400.ttf	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:15	40308/40308	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%229d74-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400.eot?	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400d41d.eot	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:16	14872/14872	---M--	200	added ('OK')	font/woff2	etag:W/%223a18-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400.woff2	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400.woff2	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:16	18164/18164	---M--	200	added ('OK')	font/woff	etag:W/%2246f4-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400.woff	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400.woff	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:17	40080/40080	---M--	200	added ('OK')	font/ttf	etag:W/%229c90-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400.ttf	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400.ttf	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:17	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Wed,%2012%20Jun%202019%2000:18:05%20GMT	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400.svg	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-regular-400.svg	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:18	79100/79100	---M--	200	added ('OK')	font/woff2	etag:W/%22134fc-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-solid-900.woff2	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-solid-900.woff2	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:18	209012/209012	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2233074-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-solid-900.eot	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-solid-900.eot	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:18	209012/209012	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2233074-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-solid-900.eot?	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-solid-900d41d.eot	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:19	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Wed,%2012%20Jun%202019%2000:18:08%20GMT	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-solid-900.svg	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-solid-900.svg	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
03:17:19	102224/102224	---M--	200	added ('OK')	font/woff	etag:W/%2218f50-16b36de7c98%22	https://gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-solid-900.woff	C:/Users/Burak/Desktop/Gravity-Bot/gnargebot.glitch.me/vendors/fontawesome/webfonts/fa-solid-900.woff	(from https://gnargebot.glitch.me/vendors/fontawesome/css/all.min.css)
